Job stats:
job                   count    min threads    max threads
------------------  -------  -------------  -------------
align_reads              12              1              1
all                       1              1              1
build_bowtie_index        2              1              1
combine_counts            1              1              1
count_pgRNAs              6              1              1
demux_fastqs              1              1              1
get_stats                12              1              1
make_sorted_bams         12              1              1
rename_fastqs            12              1              1
trim_reads                3              1              1
total                    62              1              1

